Priority,Status,Page/Section,Slot,Current File,Recommended New File,Update In Code,Size (px),Format,Subject / Scene,Search Keywords,Duplicates / Also Used On,Notes
1,Review,Home,Hero background,hero-banner.webp,heroes/home.webp,components/HeroSection.js + pages/_document.js (preload) + data/seo.js,1920x1080,webp,Global programme delivery — city skyline or ops command centre; professional not touristy,"city skyline night reflection business; global operations centre; corporate excellence dark",Programme Management service card + homepage OG + default PageHead OG,Keep if strong; otherwise replace with something less generic than standard Dubai-style skyline
1,Review,About,Page hero,about_banner.webp,heroes/about.webp,pages/aboutus.js + data/seo.js,1920x1080,webp,FinXT team or Leeds office — credible human presence,"professional team office UK; business team collaboration modern; corporate about us dark",Unique to About page,Best opportunity for a real FinXT photo if available
1,Review,Services,Page hero,services_banner.webp,heroes/services.webp,pages/services.js + data/seo.js,1920x1080,webp,Broad services overview — multi-capability ops not single tech cliché,"business services overview; programme delivery operations; enterprise solutions professional",Unique to Services page,Should feel like an umbrella for 15 services
1,Keep,Live Studies,Page hero,livestudies_banner.webp,heroes/live-studies.webp,pages/live-studies.js + data/seo.js,1920x1080,webp,Paid consumer research — diverse participants or friendly study environment,"consumer research session; focus group diverse participants; paid research study",Crowdsourcing service card + Live Studies application OG,Compress/rename only unless image feels too stock
1,Replace,Case Studies,Page hero,Mainpicture.jpg,heroes/case-studies.webp,pages/case-studies.js + data/seo.js,1920x1080,webp,Programme outcomes — logistics or research delivery in action,"case study business success; programme delivery logistics; operational excellence corporate",Site Setup service + Professional Services sector + Case study #2,High priority — hero reuses a card image
1,Review,Contact,Page hero,contact_banner.webp,heroes/contact.webp,pages/contact.js + data/seo.js,1920x1080,webp,Global contact — professional comms; Leeds HQ or international offices,"contact us business professional; global business communication; corporate contact dark",Unique to Contact page,Avoid generic headset call-centre stock
2,Review,Services,AI Strategy card,AI Strategy.jpg,services/ai-strategy.webp,data/services.js (aiServices[0]) + data/sectors.js (tech sector) + data/caseStudies.js (#01),800x600,webp,AI roadmap / strategy workshop — whiteboards governance planning,"AI strategy consulting; technology roadmap business; AI readiness assessment",Big Tech sector + Case study 01 + homepage mosaic (via featured),Consider unique case study image even if service card stays
2,Review,Services,AI Chatbot card,AI Chatbot.jpg,services/ai-chatbot.webp,data/services.js (aiServices[1]),800x600,webp,Conversational AI interface — subtle not cartoon robot,"AI chatbot enterprise; virtual assistant business; customer support automation",Unique,OK to keep if quality is good
2,Review,Services,AI Data Analytics card,AI DataAnalytics.jpg,services/ai-data-analytics.webp,data/services.js (aiServices[2]) + homepage mosaic,800x600,webp,Data insights dashboard — clean analytics not neon hacker,"data analytics dashboard professional; business intelligence insights; predictive analytics corporate",Homepage What We Deliver collage,Featured service — worth a strong image
2,Review,Services,AI Cybersecurity card,AI Cybersecurity.jpg,services/ai-cybersecurity.webp,data/services.js (aiServices[3]),800x600,webp,Security operations — SOC or threat monitoring professional,"cybersecurity operations center; threat detection enterprise; information security professional",Unique,
